dep;jour;incid_hosp;incid_rea;incid_dc;incid_rad;deceshospi
01;2020-04-25; 498;  96;  76; 243;15,3
02;2020-04-25;1115;  99; 191; 660;17,1
03;2020-04-25; 199;  37;  25; 118;12,6
04;2020-04-25; 141;   9;   7; 104; 5,0
05;2020-04-25; 131;  26;   6;  88; 4,6
06;2020-04-25; 774; 177; 121; 387;15,6
07;2020-04-25; 411;  53;  59; 265;14,4
08;2020-04-25; 245;  39;  44; 113;18,0
09;2020-04-25;  42;   8;   2;  27; 4,8
10;2020-04-25; 729;  43; 105; 345;14,4
11;2020-04-25; 357;  44;  51; 145;14,3
12;2020-04-25; 172;  16;  20; 101;11,6
13;2020-04-25;3574; 574; 363;2120;10,2
14;2020-04-25; 374;  99;  56; 158;15,0
15;2020-04-25;  52;  14;   5;  27; 9,6
16;2020-04-25;  92;  17;  18;  43;19,6
17;2020-04-25; 297;  48;  37;  89;12,5
18;2020-04-25; 222;  33;  53;  69;23,9
19;2020-04-25; 161;  26;  22;  60;13,7
21;2020-04-25;1128; 162; 206; 624;18,3
22;2020-04-25; 208;  25;  24; 122;11,5
23;2020-04-25;  56;  18;   5;  22; 8,9
24;2020-04-25; 158;  14;   9;  74; 5,7
25;2020-04-25; 663; 147; 111; 404;16,7
26;2020-04-25; 652; 125; 114; 372;17,5
27;2020-04-25; 265;  26;  63;  85;23,8
28;2020-04-25; 606;  62;  79; 288;13,0
29;2020-04-25; 232;  63;  36; 123;15,5
2A;2020-04-25; 239;  48;  42; 100;17,6
2B;2020-04-25; 137;   8;   8;  96; 5,8
30;2020-04-25; 336;  85;  50; 171;14,9
31;2020-04-25; 616; 198;  46; 426; 7,5
32;2020-04-25; 100;  11;  16;  52;16,0
33;2020-04-25;1139; 219; 111; 715; 9,7
34;2020-04-25; 751; 199;  97; 511;12,9
35;2020-04-25; 496;  94;  68; 278;13,7
36;2020-04-25; 240;  23;  60;  57;25,0
37;2020-04-25; 428;  96;  58; 196;13,6
38;2020-04-25; 717; 138;  95; 393;13,2
39;2020-04-25; 297;  43;  43; 151;14,5
40;2020-04-25;  84;  18;  11;  44;13,1
41;2020-04-25; 278;  41;  38; 112;13,7
42;2020-04-25;1192; 170; 173; 579;14,5
43;2020-04-25; 134;   7;   9;  62; 6,7
44;2020-04-25; 731; 113; 111; 371;15,2
45;2020-04-25; 730; 179;  65; 369; 8,9
46;2020-04-25; 170;  15;  15; 131; 8,8
47;2020-04-25;  72;  12;   6;  38; 8,3
48;2020-04-25;  16;   2;   0;  16; 0,0
49;2020-04-25; 629; 115;  92; 366;14,6
50;2020-04-25; 191;  39;  37;  95;19,4
51;2020-04-25;1217; 149; 202; 665;16,6
52;2020-04-25; 330;  42;  55; 175;16,7
53;2020-04-25; 187;  24;  27;  76;14,4
54;2020-04-25;1405; 310; 258; 668;18,4
55;2020-04-25; 511;  50;  83; 286;16,2
56;2020-04-25; 422;  69;  72; 255;17,1
57;2020-04-25;2936; 429; 623;1444;21,2
58;2020-04-25; 119;  25;  22;  44;18,5
59;2020-04-25;2657; 553; 412;1256;15,5
60;2020-04-25;1406; 147; 314; 694;22,3
61;2020-04-25; 250;  25;  27; 152;10,8
62;2020-04-25;1475; 251; 219; 773;14,8
63;2020-04-25; 217;  72;  33; 122;15,2
64;2020-04-25; 249;  47;  25; 158;10,0
65;2020-04-25; 186;  12;  19;  85;10,2
66;2020-04-25; 357;  89;  29; 268; 8,1
67;2020-04-25;2991; 565; 485;1624;16,2
68;2020-04-25;3256; 435; 697;1804;21,4
69;2020-04-25;3609; 699; 467;1702;12,9
70;2020-04-25; 314;  53;  67; 160;21,3
71;2020-04-25; 877;  92; 143; 514;16,3
72;2020-04-25; 443;  59;  49; 230;11,1
73;2020-04-25; 426;  61;  42; 295; 9,9
74;2020-04-25; 889; 150; 125; 561;14,1
75;2020-04-25;7889;1842;1352;3775;17,1
76;2020-04-25; 935; 233; 135; 507;14,4
77;2020-04-25;2761; 487; 451;1596;16,3
78;2020-04-25;2614; 340; 400;1351;15,3
79;2020-04-25; 101;  15;  14;  59;13,9
80;2020-04-25; 971; 149; 166; 485;17,1
81;2020-04-25; 127;  43;  18;  73;14,2
82;2020-04-25;  46;  17;   2;  30; 4,3
83;2020-04-25; 853; 138; 104; 475;12,2
84;2020-04-25; 275;  42;  26; 156; 9,5
85;2020-04-25; 247;  40;  32; 138;13,0
86;2020-04-25; 163;  47;  28;  86;17,2
87;2020-04-25; 164;  29;  22;  85;13,4
88;2020-04-25; 843; 113; 219; 442;26,0
89;2020-04-25; 328;  40;  52; 148;15,9
90;2020-04-25; 630;  63; 145; 365;23,0
91;2020-04-25;2712; 456; 384;1084;14,2
92;2020-04-25;5393; 955; 799;2564;14,8
93;2020-04-25;4462; 573; 785;2043;17,6
94;2020-04-25;5340; 835; 874;2245;16,4
95;2020-04-25;3128; 364; 538;1612;17,2
971;2020-04-25; 120;  43;  14;  76;11,7
972;2020-04-25; 109;  26;  14;  65;12,8
973;2020-04-25;  42;   3;   1;  37; 2,4
974;2020-04-25; 109;  10;   0; 103; 0,0
976;2020-04-25;  95;   7;   6;  63; 6,3
